"RegionName","Year","Month","Portion"
"95116",2009,10,0.572301
"95148",2009,10,0.345493
"94601",2009,10,0.644501
"94014",2009,10,0.274466
"94550",2009,10,0.201124
"94553",2009,10,0.41
"95136",2009,10,0.275726
"94901",2009,10,0.165187
"95037",2009,10,0.276691
"94086",2009,10,0.124007
"94025",2009,10,0.026025
"94560",2009,10,0.406338
"95008",2009,10,0.078615
"94577",2009,10,0.368678
"94303",2009,10,0.289646
"94116",2009,10,0.088578
"94546",2009,10,0.22392
"95124",2009,10,0.109163
"94551",2009,10,0.294608
"95129",2009,10,0.072222
"94118",2009,10,0.049019
"94605",2009,10,0.464853
"94066",2009,10,0.217096
"94403",2009,10,0.058732
"94010",2009,10,0.014286
"94520",2009,10,0.558949
"95132",2009,10,0.254984
"94117",2009,10,0.031303
"94583",2009,10,0.190234
"94124",2009,10,0.286583
"94568",2009,10,0.186411
"94555",2009,10,0.167975
"94804",2009,10,0.520349
"94134",2009,10,0.189924
"94561",2009,10,0.402058
"94566",2009,10,0.050239
"94044",2009,10,0.16107
"94578",2009,10,0.498521
"94523",2009,10,0.190564
"95120",2009,10,0.058374
"94401",2009,10,0.185065
"95128",2009,10,0.165625
"95121",2009,10,0.305486
"94132",2009,10,0.210714
"94115",2009,10,0.021739
"94521",2009,10,0.483097
"94404",2009,10,0.023086
"95070",2009,10,0.092849
"94621",2009,10,0.752461
"94061",2009,10,0.165324
"94582",2009,10,0.141147
"94526",2009,10,0.056072
"94531",2009,10,0.551538
"94040",2009,10,0.032104
"94114",2009,10,0.03125
"95117",2009,10,0.113787
"94801",2009,10,0.565313
"95050",2009,10,0.066458
"94611",2009,10,0.085106
"94063",2009,10,0.445263
"94603",2009,10,0.606648
"94545",2009,10,0.398974
"94598",2009,10,0.081289
"94580",2009,10,0.316291
"94941",2009,10,0.0799
"95131",2009,10,0.214046
"94002",2009,10,0.073788
"94608",2009,10,0.258553
"94062",2009,10,0.082937
"95133",2009,10,0.33665
"94610",2009,10,0.185599
"94530",2009,10,0.151151
"94602",2009,10,0.279056
"94402",2009,10,0.100893
"94549",2009,10,0.116117
"94903",2009,10,0.146876
"94043",2009,10,0.066071
"94131",2009,10,0.065385
"94070",2009,10,0.041757
"94518",2009,10,0.427434
"94947",2009,10,0.235837
"95054",2009,10,0.243136
"94607",2009,10,0.42368
"94619",2009,10,0.328214
"94107",2009,10,0.121789
"94103",2009,10,0.081254
"94085",2009,10,0.09625
"95032",2009,10,0.0866
"94579",2009,10,0.371875
"95135",2009,10,0.102273
"94547",2009,10,0.629281
"95118",2009,10,0.188553
"94609",2009,10,0.285714
"94519",2009,10,0.362828
"94564",2009,10,0.520891
"94596",2009,10,0.255208
"94803",2009,10,0.530209
"94588",2009,10,0.100972
"94506",2009,10,0.079528
"94022",2009,10,0.017756
"95138",2009,10,0.30309
"94089",2009,10,0.212454
"95126",2009,10,0.04803
"95110",2009,10,0.204288
"94127",2009,10,0.029412
"94502",2009,10,0.0625
"94595",2009,10,0.013224
"94706",2009,10,0.109804
"94301",2009,10,0.041666
"94702",2009,10,0.186218
"94960",2009,10,0.147436
"94563",2009,10,0.086923
"94945",2009,10,0.237029
"94618",2009,10,0.053846
"94920",2009,10,0.076923
"94904",2009,10,0.035715
"94556",2009,10,0.049019
"94507",2009,10,0.116239
"94597",2009,10,0.24375
"94949",2009,10,0.061471
"94542",2009,10,0.316193
"94517",2009,10,0.213287
"94019",2009,10,0.101042
"94505",2009,10,0.621499
"95139",2009,10,0.235294
"94105",2009,10,0.024091
"94565",2009,11,0.580758
"94112",2009,11,0.178625
"94544",2009,11,0.411708
"94110",2009,11,0.05665
"94587",2009,11,0.381982
"95035",2009,11,0.237429
"94538",2009,11,0.199962
"94501",2009,11,0.153409
"94536",2009,11,0.245898
"94513",2009,11,0.466875
"95111",2009,11,0.453789
"95127",2009,11,0.459334
"94806",2009,11,0.598487
"95123",2009,11,0.372787
"94509",2009,11,0.537645
"94122",2009,11,0.051505
"94080",2009,11,0.219092
"95122",2009,11,0.49532
"94109",2009,11,0.043765
"94015",2009,11,0.324167
"94541",2009,11,0.455252
"95020",2009,11,0.404596
"94087",2009,11,0.017083
"95051",2009,11,0.128106
"95125",2009,11,0.187817
"94539",2009,11,0.03474
"95112",2009,11,0.26556
"95116",2009,11,0.511814
"95148",2009,11,0.376668
"94601",2009,11,0.62222
"94014",2009,11,0.304487
"94550",2009,11,0.253522
"94553",2009,11,0.37333
"95136",2009,11,0.238478
"94901",2009,11,0.259504
"95037",2009,11,0.261165
"94086",2009,11,0.110621
"94025",2009,11,0.062836
"94560",2009,11,0.346485
"95008",2009,11,0.07293
"94577",2009,11,0.409936
"94303",2009,11,0.288921
"94116",2009,11,0.063722
"94546",2009,11,0.18603
"95124",2009,11,0.127664
"94551",2009,11,0.211637
"95129",2009,11,0.049023
"94118",2009,11,0.0625
"94605",2009,11,0.489979
"94066",2009,11,0.216865
"94403",2009,11,0.141014
"94010",2009,11,0.05054
"94520",2009,11,0.552698
"95132",2009,11,0.211406
"94583",2009,11,0.168125
"94124",2009,11,0.308144
"94568",2009,11,0.160601
"94555",2009,11,0.250561
"94804",2009,11,0.445547
"94606",2009,11,0.333333
"94134",2009,11,0.26097
"94561",2009,11,0.375268
"94566",2009,11,0.031156
"94044",2009,11,0.161939
"94578",2009,11,0.434247
"94523",2009,11,0.238979
"95120",2009,11,0.085336
"94401",2009,11,0.154196
"95128",2009,11,0.253125
"95121",2009,11,0.296944
"94132",2009,11,0.192647
"94521",2009,11,0.394683
"94404",2009,11,0.055727
"95070",2009,11,0.057494
"94621",2009,11,0.703902
"94061",2009,11,0.134914
"94582",2009,11,0.133824
"94526",2009,11,0.058803
"94531",2009,11,0.526937
"94040",2009,11,0.014632
"94114",2009,11,0.034695
"95117",2009,11,0.136949
"94801",2009,11,0.487071
"95050",2009,11,0.044499
"94611",2009,11,0.10666
"94063",2009,11,0.401667
"94603",2009,11,0.504453
"94545",2009,11,0.357406
"94598",2009,11,0.079736
"94580",2009,11,0.367163
"94941",2009,11,0.104022
"95131",2009,11,0.181424
"94002",2009,11,0.07374
"94608",2009,11,0.300337
"94062",2009,11,0.094298
"95133",2009,11,0.370652
"94610",2009,11,0.160805
"94530",2009,11,0.104789
"94602",2009,11,0.262236
"94402",2009,11,0.148988
"94549",2009,11,0.113782
"94903",2009,11,0.089729
"94043",2009,11,0.067857
"94131",2009,11,0.038462
"94070",2009,11,0.046413
"94518",2009,11,0.390546
"94947",2009,11,0.318534
"95054",2009,11,0.262879
"94607",2009,11,0.395588
"94619",2009,11,0.24375
"94107",2009,11,0.104051
"94103",2009,11,0.065442
"95032",2009,11,0.101465
"94579",2009,11,0.223579
"95135",2009,11,0.045454
"94547",2009,11,0.583059
"95118",2009,11,0.148875
"94609",2009,11,0.205882
"94519",2009,11,0.320934
"94564",2009,11,0.486145
"94596",2009,11,0.289145
"94803",2009,11,0.517976
"94588",2009,11,0.110318
"94506",2009,11,0.0563
"95138",2009,11,0.358507
"95126",2009,11,0.089018
"95110",2009,11,0.164647
"94706",2009,11,0.067778
"94805",2009,11,0.333333
"94960",2009,11,0.12465
"94563",2009,11,0.113205
"94945",2009,11,0.231087
"94707",2009,11,0.071429
"94552",2009,11,0.162088
"94556",2009,11,0.122917
"94041",2009,11,0.181818
"94507",2009,11,0.18416
"94597",2009,11,0.21875
"94949",2009,11,0.10875
"95030",2009,11,0.1
"94517",2009,11,0.172145
"94019",2009,11,0.116204
"94505",2009,11,0.609958
"94105",2009,11,0.041818
"94565",2009,12,0.573304
"94112",2009,12,0.212188
"94544",2009,12,0.462704
"94110",2009,12,0.091941
"94587",2009,12,0.421691
"95035",2009,12,0.273343
"94538",2009,12,0.223633
"94501",2009,12,0.114644
"94536",2009,12,0.226383
"94513",2009,12,0.432217
"95111",2009,12,0.412484
"95127",2009,12,0.484347
"94806",2009,12,0.562954
"95123",2009,12,0.381634
"94509",2009,12,0.480053
"94122",2009,12,0.026923
"94080",2009,12,0.203849
"95122",2009,12,0.478214
"94109",2009,12,0.04311
"94015",2009,12,0.263519
"94541",2009,12,0.431134
"95020",2009,12,0.402057
"95051",2009,12,0.083256
"95125",2009,12,0.153952
"94539",2009,12,0.039621
"95112",2009,12,0.275686
"95014",2009,12,0.028846
"95116",2009,12,0.406215
"95148",2009,12,0.370464
"94601",2009,12,0.595485
"94014",2009,12,0.320764
"94550",2009,12,0.26184
"94553",2009,12,0.362796
"95136",2009,12,0.201169
"94901",2009,12,0.204357
"95037",2009,12,0.186737
"94086",2009,12,0.066615
"94025",2009,12,0.102355
"94560",2009,12,0.311353
"95008",2009,12,0.055166
"94577",2009,12,0.36751
"94303",2009,12,0.252049
"94116",2009,12,0.045762
"94121",2009,12,0.021739
"94546",2009,12,0.21498
"95124",2009,12,0.113367
"94551",2009,12,0.258201
"95129",2009,12,0.032291
"94605",2009,12,0.483614
"94066",2009,12,0.273215
"94403",2009,12,0.200627
"94010",2009,12,0.04308
"94520",2009,12,0.501589
"95132",2009,12,0.257499
"94583",2009,12,0.197738
"94124",2009,12,0.295833
"94568",2009,12,0.182539
"94555",2009,12,0.245692
"94804",2009,12,0.417433
"94606",2009,12,0.363499
"94134",2009,12,0.232735
"94561",2009,12,0.383453
"94566",2009,12,0.063274
"94044",2009,12,0.207536
"94578",2009,12,0.340431
"94523",2009,12,0.200403
"95120",2009,12,0.086651
"94401",2009,12,0.16351
"95128",2009,12,0.221667
"95121",2009,12,0.385294
"94132",2009,12,0.176401
"94115",2009,12,0.062077
"94521",2009,12,0.353252
"94404",2009,12,0.088889
"95070",2009,12,0.06502
"94621",2009,12,0.685569
"94061",2009,12,0.13716
"94582",2009,12,0.125187
"94526",2009,12,0.07672
"94531",2009,12,0.514381
"94040",2009,12,0.039769
"94114",2009,12,0.040088
"95117",2009,12,0.157782
"94801",2009,12,0.507778
"95050",2009,12,0.073602
"94611",2009,12,0.150368
"94063",2009,12,0.509849
"94603",2009,12,0.593458
"94545",2009,12,0.365523
"94598",2009,12,0.101072
"94580",2009,12,0.349452
"94941",2009,12,0.108071
"95131",2009,12,0.20872
"94002",2009,12,0.065596
"94608",2009,12,0.237933
"94062",2009,12,0.047556
"95133",2009,12,0.374405
"94610",2009,12,0.161579
"94530",2009,12,0.105006
"94602",2009,12,0.283498
"94402",2009,12,0.106667
"94549",2009,12,0.077209
